LMPR02010034	3-decaprenyl-4,5-dihydroxybenzoic acid	834.652610
LMPR01070057	19'-Hexanoyloxyfucoxanthinol	730.480855
LMPR02020078	alpha-carboxymethyloctylhydroxychroman	348.230060
LMPR0103590005	Armillanal B	470.230455
CA01061	Dihydrophaseic acid	282.326 g/mol
LMPR0106010006	C30:6 Highly branched isoprenoid B	410.391250
LMPR0106180026	NA	812.455825
LMPR01070972	3,3'-Diketo-epsilon-carotene	564.396730
LMPR0104010014	Phytophthora mating hormone alpha1	344.292660
CA00647	Siphonaxanthin	600.848 g/mol
CA00209	3,1'-Dihydroxy-γ-carotene	570.864 g/mol
CA00633	Anhydromicromonal	566.832 g/mol
LMPR0103370012	Ustusoic acid B	402.204240
LMPR0102110001	beta-Dolabrin	162.068080
CA01167	Isophorone	138.202 g/mol
LMPR0103090025	Elephantopinolide H	374.136555
CA00315	3,4-Didehydro-β-carotene	534.832 g/mol
CA00318	η-Carotene	540.88 g/mol
CA00313	Dihydro-β-carotene	538.864 g/mol
CA01155	Orobanchol	346.366 g/mol
LMPR01070684	Beta-Cryptoxanthin caprate	706.568880
LMPR0105010009	C25:3 Highly branched isoprenoid C	346.359950
CA01218	Zeaxanthin monopalmitate	807.248 g/mol
LMPR0106150012	3-oxoglycyrrhetinic acid	468.323960
CA00881	Apo-12'-capsorubinal	382.522 g/mol
CA00103	Didemethylspirilloxanthin glucoside	730.988 g/mol
LMPR0106080010	Ginsenoside Rg3	784.497295
CA00323	Alloxanthin	564.816 g/mol
CA00597	Lutein	568.848 g/mol
LMPR04000040	20alpha-acetoxy-hopane-6alpha,22-diol	502.402210
LMPR0103090019	Elephantopinolide B	374.136555
LMPR01080068	Glisoprenin D	736.621705
LMPR03020005	4-amino-4-deoxy-alpha-L-arabinopyranosyl undecaprenyl phosphate	977.723742
LMPR0103010014	14:0(5Me[R],9Me[R],13Me)	270.255880
LMPR0106150007	bayogenin	488.350175
CA00154	Lycopen-20-al	550.832 g/mol
LMPR01070781	(2'S)-2-Keto-2'-hydroxy-beta-carotene	566.412380
CA00908	Nonaflavuxanthin	620.962 g/mol
CA00905	Crocetin dineapolitanosyl ester	1301.232 g/mol
LMPR0103860002	(+)-Mayurone	206.167065
LMPR01070267	beta-Carotene 5,6-epoxide	552.433115
LMPR0103620001	(-)-Merulidial	248.141245
CA00835	3-Hydroxysintaxanthin	446.646 g/mol
CA01204	(13Z)-Retinoic acid: 13-cis-Retinoic acid	300.424 g/mol
CA00531	Braunixanthins	1668.586 g/mol
CA01169	Megastigma-4,7E,9-trien-3-one	190.274 g/mol
LMPR0102070029	7-Epiloganin tetraacetate	558.194860
LMPR01070311	Fucoxanthinol 3-linoleate	878.642440
CA00325	Eschscholtzxanthin	566.832 g/mol
CA00906	Crocetin glucosyl methyl diester	504.558 g/mol
CA00844	β-Apo-12'-carotenal	350.522 g/mol
CA00600	3',6'-Diepilutein	568.848 g/mol
LMPR0103800003	beta-santalol	220.182715
LMPR03040009	Glycinoprenol-10	704.683515
CA00703	Anhydroprasinoxanthin	582.832 g/mol
LMPR04000033	2R-methyl-diplopterol	442.417465
LMPR0103090012	(1Z,4E)-germacrene B	204.187800
LMPR0104390001	Paclitaxel	853.330959
LMPR0106150056	Arenaroside G	1162.577125
CA01115	(3R,6R,7E,9R)-3,9-dihydroxy-4,7-megastigmadiene	210.306 g/mol
LMPR02020066	delta-tocopherol	402.349780
CA00764	Bastaxanthin C2	675.856 g/mol
LMPR01070383	Mactraxanthin 3-(4Z,7Z,10Z,13Z,16Z,19Z-docosahexaenoate) 3'-palmitoleate	1182.882670
CA00527	Botryoxanthin A	1033.636 g/mol
LMPR0106150033	Katononic acid	454.344695
LMPR01070167	OH-Chlorobactene glucoside laurate	894.637355
CA00149	Lycopene 1,2-epoxide	552.848 g/mol
LMPR0102060022	pyrethrin II	372.193675
CA00115	Lycopanerols H	2285.734 g/mol
CA00470	2,2'-Diketo-β-carotene	564.816 g/mol
LMPR01070362	Fucoxanthinol 3-oleate 3'-gondoate	1172.934705
LMPR0102090023	Pinocarvone	150.104465
LMPR0106010008	C30:5 Highly branched isoprenoid	412.406900
CA01048	Cucumariaxanthins A	594.884 g/mol
LMPR01090003	11-cis-retinal	284.214015
LMPR0102090069	Pileadimenthenol C	336.230060
LMPR01090028	19-Hydroxy-all-trans-retinoic acid	316.203845
LMPR01040115	Ximaosarcophytol B	304.240230
LMPR0103500002	5-propylideneisolongifolane	246.234750
CA00850	Neorehmannioside	432.498 g/mol
CA00030	1-(D-Mannosyloxy)-3,4-didenhydro-1,2-dihydro-8'-apolycopen-8'-oic acid	622.77 g/mol
CA00743	Lilixanthin	600.848 g/mol
CA00915	Decaprenoxanthin monoglucoside	881.242 g/mol
LMPR0106150004	oleanolic acid	456.360345
LMPR0103540001	(-)-Picrotoxinin	292.094690
LMPR01070076	4-Keto-4'-hydroxydiatoxanthin	596.386560
LMPR0103030002	(R)-Sesquilavandulol	222.198365
CA00389	Thermozeaxanthin-17	983.414 g/mol
LMPR0103060004	(Z)-gamma-bisabolene	204.187800
LMPR0106180014	Maslinic acid	472.355260
LMPR01090006	all-trans-Dehydroretinal	282.198365
LMPR0103170001	10-Hydroxy-isolaurene	216.151415
CA00406	Diadinochrome	582.832 g/mol
LMPR0104320002	Neoglabrescin A	450.188985
CA00283	Torularhodin	564.816 g/mol
CA00989	Dihydroxylycopene diglucoside ester	953.222 g/mol
LMPR0103190001	alpha-Santonin	246.125595
LMPR0103410004	(+)-guaia-6,9-diene	204.187800
CA01191	(6'R)-α-Carotene	536.848 g/mol
LMPR01070772	Eschscholtzxanthone	564.396730
LMPR0106180029	Taraxastane-3beta,20beta,28-triol	460.391645
LMPR02030032	Myxoquinone-825	824.616620
LMPR0102070045	Tarenninoside B	508.121695
CA00918	3,4,3',4'-Tetrahydrobisanhydrobacterioruberin	709.108 g/mol
LMPR04000041	2R-methyl-hop-17(21)-ene	424.406900
LMPR0105010001	C25:3 6,7-Epoxy highly branched isoprenoid	360.339215
LMPR0106150027	alpha-Boswellic acid	456.360345
LMPR03030004	undecaprenyl trihydrogen diphosphate	926.631831
LMPR01070208	Bixindial	348.208930
LMPR0103480001	(-)-alpha-Himachalene	204.187800
CA01090	C25-Allenic-apo-aldehyde	382.522 g/mol
CA00962	2-Hydroxymyxol-2'-fucoside	746.988 g/mol
LMPR0104170021	Gibberellin A4	332.162375
CA00357	Mactraxanthin	636.88 g/mol
LMPR0103050010	(+)-8'-hydroxyabscisic acid	280.131075
CA00882	Apo-8'-capsorubinal	448.62 g/mol
LMPR0106140009	NA	472.355260
LMPR01070085	zeta-Carotene	540.469500
CA00092	Hydroxyspheroidene	586.906 g/mol
CA00336	(4S)-4-Hydroxyalloxanthin	580.816 g/mol
CA00814	Persicachrome	384.538 g/mol
CA00877	8'-Hydroxyabscisic acid	280.31 g/mol
LMPR0103160008	Herbertenone A	234.161980
CA01241	Astaxanthin 5,6-epoxide	612.816 g/mol
CA00655	Phoenicopterone	550.832 g/mol
LMPR0104030002	Copalyl diphosphate	450.193631
CA01209	(6S,9R)-Roseoside	386.43 g/mol
CA00073	Rhodopin	554.864 g/mol
LMPR01070600	delta Carotene 1',2'-epoxide	552.433115
CA00355	6-Epineoflor	618.864 g/mol
CA00709	(15Z)-Chlorobactene	532.816 g/mol
LMPR01070566	4,4'-Diketo-gamma-carotene	564.396730
LMPR01090054	all-trans-18-Hydroxyretinoic acid	316.203845
LMPR0104440001	Eremolactone	298.193280
CA00001	4,4'-Diapolycopene	400.62 g/mol
CA00725	Isotedanin	560.784 g/mol
LMPR0104010039	Geranylgeranoic acid	304.240230
LMPR01030046	Chinensiol	458.375995
CA00909	Nonaprene	604.962 g/mol
CA00186	2-Keto-demethyl-spirilloxanthin	596.858 g/mol
LMPR0103720001	Capnell-9(12)-ene-8beta,10alpha-diol	236.177630
CA01030	Tobiraxanthin D	845.212 g/mol
LMPR0106140010	NA	486.334525
LMPR0104030029	Dichlorolissoclimide	417.147365
CA00248	Rubixanthin 5,6-epoxide	568.848 g/mol
CA00012	4-Hydroxy-4,4'-diaponeurosporene	418.636 g/mol
LMPR03070001	Dolichol-19	1313.215615
LMPR0102070053	Diffusoside B	432.163165
LMPR0102090055	(4R,7R)-7-isopropyl-4-methyloxepan-2-one	170.130680
CA00227	2-Hydroxyplectaniaxanthin	584.848 g/mol
LMPR0102090033	(1R,4R)-Dihydrocarvone	152.120115
LMPR0104050019	Officinoterpenoside A1	672.299325
CA00440	(8'S)-Neochrome	600.848 g/mol
LMPR0103740001	Pentalen-13-al	218.167065
LMPR0104130004	ent-kaur-16-en-19-oic acid	302.224580
CA01201	12'-Apoastaxanthinal	380.506 g/mol
CA00763	Bastaxanthin B	699.876 g/mol
LMPR0103010004	Juvenile hormone III	266.188195
LMPR0106040005	3-ketofusidic acid	514.329440
LMPR0103620003	(+)-Blennin D	266.151810
LMPR0102120042	(-)-5-oxo-1,2-campholide	182.094295
LMPR0102120014	(1S,2R,4S)-(-)-Bornyl acetate	196.146330
CA00337	Pectenol A	582.832 g/mol
CA00630	Chrysanthemaxanthin	584.848 g/mol
LMPR0104030031	Haterumaimide J	383.186337
LMPR01070316	Fucoxanthinol 3-gondoate	908.689390
LMPR01090057	N-Retinylidene-N-iso-retinylethanolamine	592.451839
CA00799	β-Cyclocitral	152.228 g/mol
LMPR0104180003	Rhodojaponin III	368.219891
CA00766	19-Hexanoyloxymytiloxanthin	670.936 g/mol
LMPR0104170035	gibberellin A28	394.162770
CA00730	7,8-Didehydroaaptopurpurin	560.826 g/mol
LMPR0103480007	gamma-himachalene	204.187800
CA00971	β-Cryptoxanthin palmitoleate	791.248 g/mol
LMPR0102120025	Pinocarveol	152.120115
LMPR0102070064	Genameside D	550.189775
CA00150	Lycopene 5,6-epoxide	552.848 g/mol
CA00500	(3R,3'R)-Astaxanthin	596.816 g/mol
LMPR03030003	Lipid II (undecaprenyl diphosphate-MurNAc-pentapeptide-GlcNAc)	1919.050438
LMPR0103700009	(5S)-albaflavenol	220.182715
LMPR0103190015	(+)-artemisinic acid	234.161980
LMPR02020071	delta,delta-Bi-O-garcinoic acid	850.538370
LMPR0104010015	(2S)-2-hydroxyphytanic acid	328.297745
CA00484	Pectenolone	580.816 g/mol
CA00276	4-Ketophleixanthophyll	744.972 g/mol
CA01014	3β-hydroxy-5α,6α-epoxy-7-megastigmen-9-one	224.29 g/mol
LMPR0103090022	Elephantopinolide E	374.136555
CA00445	(8S,8'S)-Auroxanthin	600.848 g/mol
LMPR0104310003	(-)-Jolkinol A	480.251190
LMPR01090023	9,13-di-cis-retinoic acid	300.208930
CA01066	Tectoionols A	228.322 g/mol
LMPR0106010007	C30:5 Monocyclic highly branched isoprenoid B	412.406900
LMPR0106150011	3alpha-hydroxyglycyrrhetinic acid	470.339610
CA00211	Phleixanthophyll	730.988 g/mol
LMPR0103870002	Bourbonol	222.198365
CA00519	Fucoxanthin	658.884 g/mol
LMPR0104240006	Clavuperoxylide A	362.245710
CA00267	1'-(beta-D-Glucopyranosyloxy)-3,4,3',4'-tetradehydro-1',2'-dihydro-beta,psi-caroten-2-one	726.956 g/mol
LMPR0104170040	gibberellin A12 aldehyde	316.203845
LMPR01070092	Parasiloxanthin	570.443680
CA01175	Oxygenated theaspirane derivative	210.306 g/mol
LMPR0103880002	3-Gymnomitren-15-al	218.167065
LMPR01070129	Asymmetrical zeta-carotene	540.469500
LMPR0103500013	4,5-(methanoxy-2-methylethano)isolongifol-4-ene	274.229665
CA00932	C.p.450	705.076 g/mol
LMPR0104330005	Wikstrocin A	610.314185
LMPR0103090001	(+) Germacrene A	204.187800
CA00589	Crocoxanthin	550.832 g/mol
CA00392	Thermobiszeaxanthin-13-15	1313.824 g/mol
LMPR02030040	Menaquinone-11	920.741030
LMPR01070345	Fucoxanthinol 3,3'-dioleate	1144.903405
CA00840	Dihydrovitixanthin	536.682 g/mol
LMPR01070697	beta-Cryptoxanthin palmitate	790.662780
LMPR01070423	1-Hydroxy-zeta-carotene	558.480065
LMPR03090024	Manbeta1-4GlcNAcbeta1-4GlcNAc-PP-Dol-20	2109.422454
CA00632	Taraxien	1061.648 g/mol
CA00941	Dihydrodecaprenoxanthin glucoside	869.232 g/mol
CA00153	2,2'-Diapocarotene-dial	480.66 g/mol
LMPR04000027	31-hydroxy-32,35-anhydrobacteriohopanetetrol	544.449160
CA00448	Moraxanthin	757.024 g/mol
CA00204	2,3-Dihydroxy-γ-carotene	568.848 g/mol
LMPR0106150062	Pfaffiaglycoside B	632.356050
LMPR0103540016	Austrobuxusin M	362.136555
CA00913	2-(4-Hydroxy-3-methylbut-2-enyl)-7,8,7',8'-tetrahydro-epsilon,psi-carotene	624.994 g/mol
CA00628	α-Carotene epoxide	552.848 g/mol
LMPR0102070025	8-Epiiridodial glucoside	330.167855
CA00101	3,4-Dehydrorhodopin glucoside	714.988 g/mol
CA00366	Dehydroophioxanthin	785.994 g/mol
CA00787	7,8,7',8'-Tetrahydrocapsorubin	604.88 g/mol
LMPR0104170037	gibberellin A2 O-beta-D-glucoside	512.225765
LMPR01070304	trans-beta-damascenone	190.135765
CA01125	Tetradehydrolycopendial	560.784 g/mol
CA00872	α-Micropteroxanthin A	396.59 g/mol
LMPR0106030001	Botryococcane	422.485150
LMPR0106150059	delta-Oleanolic acid	456.360345
LMPR01070499	Lycopanerol J	1789.811105
LMPR0103330007	Cadalene	198.140850
LMPR0103190010	(-)-beta-selinene	204.187800
CA01211	(6S,9S)-Roseoside	386.43 g/mol
CA00740	Mytiloxanthinone	596.816 g/mol
CA00322	β-Cryptoxanthin	552.848 g/mol
CA01028	Tobiraxanthin B	827.196 g/mol
LMPR0102070034	Deutzioside pentaacetate	556.179210
LMPR0102020001	2-Methyl-5-isopropylhexa-2Z,5-dienal	152.120115
LMPR0103670003	Isoobtusadiene	296.077576
LMPR0103160012	Mastigophorene A	466.308310
CA00063	1,2-Dihydrophytoene	546.928 g/mol
LMPR0103690002	(+)-beta-Cedrene	204.187800
LMPR0103700006	albaflavenone	218.167065
CA00249	Rubichrome	568.848 g/mol
LMPR0103520002	Acutifolane A	262.156895
LMPR03020008	Decaprenyl phosphate	778.602898
LMPR0104030034	3Beta-Hydroxylissoclimide	399.181252
LMPR0102120003	(+)-Borneol	154.135765
CA00171	Hydroxyspheroidenone	600.89 g/mol
LMPR0106180009	6beta-Hydroxyasiatic acid	504.345090
CA00169	Phillipsiaxanthin	596.816 g/mol
LMPR0102060018	chrysanthemyl diphosphate	314.068431
CA00785	Capsorubin	600.848 g/mol
CA00691	Tunaxanthin A	568.848 g/mol
LMPR0104150008	NA	338.245710
LMPR01040124	Rebaudioside E	966.430795
CA00902	Crocin 4	652.672 g/mol
CA00462	Echinenone	550.832 g/mol
CA00629	Flavochrome	552.848 g/mol
LMPR0102090024	(+)-Piperitone	152.120115
LMPR0103180002	Vomitoxin	296.125990
LMPR0106050006	24R,25S-Ganodermanontriol	472.355260
LMPR0103500006	5-(1-hydroxybutan-2-yl)isolongifol-4-ene	276.245315
CA00548	Semi-astacene	594.8 g/mol
LMPR04000021	(5-D-ribonyl)hopane	542.433510
LMPR0104420002	Xeniolit A	332.198760
LMPR0106200001	(-)-7-Fernen-3alpha-ol	426.386165
LMPR0103610008	Alcyopterosin J	293.126324
LMPR01070627	Octadehydro-beta-carotene	528.375600
CA01047	Prenigroxanthin	584.848 g/mol
LMPR0104050001	Abietic acid	302.224580
LMPR01070182	Deinoxanthin	582.407295
CA00158	3,4,3',4'-Tetrahydrospirilloxanthin-20-al	614.916 g/mol
LMPR0104080003	3beta-hydroxy-9beta-pimara-7,15-dien-19,6beta-olide	316.203845
CA01164	Vitispirane	192.29 g/mol
LMPR0106200009	Isoarborinol	426.386165
LMPR0106150030	epi-Maslinic acid	472.355260
LMPR0103090016	Dimerostatin	390.167855
LMPR01070935	alpha-Doradecin	580.391645
CA01189	3-Hydroxy-β-homocyclocitral	182.254 g/mol
CA00866	Abscisic aldehyde	248.31 g/mol
LMPR0106150054	Arenaroside E	1120.566560
CA00869	3-Hydroxy-13-apo-α-caroten-13-one	274.388 g/mol
LMPR0103060003	fumagillin	458.230455
LMPR04000002	Diplopterol	428.401815
CA00097	(15Z)-Spirilloxanthin	596.9 g/mol
CA00077	1-Hydroxy-1,2-dihydrophytoene	562.928 g/mol
LMPR0103690006	cedr-8-ene	204.187800
LMPR0102010018	(S)-lavandulol	154.135765
LMPR0102120015	(-)-3-Carene	136.125200
LMPR0106180018	Sabiracin	470.339610
LMPR0103090023	Elephantopinolide F	346.141640
CA00696	(6R,3'R,6'R)-3-Dehydrolactucaxanthin	566.832 g/mol
CA01027	Tobiraxanthin A3	997.44 g/mol
CA01075	(9Z)-Lycopen-20-ol	552.848 g/mol
LMPR0104170014	Gibberellin A12	332.198760
LMPR0106240003	thalianol epoxide	442.381080
CA00765	19-Butanoyloxymytiloxanthin	642.884 g/mol
LMPR03070024	Nor-Dolichoic acid-[13-22]	360.302830
LMPR01070399	NA	614.397125
LMPR0102120036	(+)-sabinene	136.125200
LMPR0104240005	Clavurol B	346.250795
LMPR0102120033	(1S)-bornane-2,3-dione	166.099380
CA00338	Caloxanthin	584.848 g/mol
CA00923	Bacterioruberin	741.108 g/mol
LMPR02010047	Rhodoquinone	847.684244
LMPR0104170020	Gibberellin A9	316.167460
LMPR0103590002	(-)-Illudin S	264.136160
CA00855	5,8-Epoxy-3-hydroxy-5,8-dihydro-8'-apo-beta-caroten-8'-al	448.62 g/mol
LMPR0102120037	(+)-alpha-thujene	136.125200
CA00246	Methoxy-keto-myxocoxanthin	580.858 g/mol
CA01221	Acycloretinoic acid	300.424 g/mol
LMPR01090048	(3S)-11-cis-3-hydroxyretinal	300.208930
CA00256	4-Keto-γ-carotene	550.832 g/mol
LMPR0103090035	NA	428.204635
CA01198	13-apoaxtaxanthinone	288.372 g/mol
LMPR01070211	Methyl bixin	408.230060
LMPR0104030022	Haterumaimide D	415.131715
CA00320	Anhydrodiatoxanthin	548.816 g/mol
CA00945	Oscillol 2,2'-dirhamnoside	893.128 g/mol
LMPR0102100001	NA	152.120115
LMPR0103250005	dihydrosporogen-AO-1	250.156895
CA00893	Norbixin	380.464 g/mol
CA00170	2-Ketorhodovibrin	598.874 g/mol
LMPR01040117	Sarcophytrol J	322.250795
CA01021	Annuionone C	224.29 g/mol
LMPR0104330015	Stelleracin E	626.309100
CA01069	9-Apo-7,8-dihydro-3-hydroxy-beta-caroten-9-one	210.306 g/mol
CA00397	Mutatochrome	552.848 g/mol
CA00544	β-Doradecin	580.816 g/mol
CA00934	C.p.473 glucoside	867.216 g/mol
LMPR0102090025	(+)-Pulegone	152.120115
LMPR0102120049	(+)-sabinone	150.104465
CA00585	5',6'-Epoxy-3'-hydroxy-3-methoxy-4,5-didehydro-5',6'-dihydro-4,6-cyclo-5,6-seco-beta,beta-caroten-5-one	612.858 g/mol
LMPR0105020006	Somaliensene A	340.313000
LMPR01070396	Mactraxanthin 3-linoleate 3'-(9E-hexadecenoate)	1134.882670
CA00598	6'-Epilutein	568.848 g/mol
CA00453	Pittosporumxanthin A4	1029.522 g/mol
LMPR02020068	Plastochromanol-8	750.631480
CA00528	Botryoxanthin B	1047.62 g/mol
CA01062	β-Apo-4'-carotenal	482.718 g/mol
LMPR0104030028	Chlorolissoclimide	383.186337
LMPR0106180034	Pfaffianol A	456.323960
LMPR0102090052	1beta,3beta,4beta-p-menthane-3,8-diol	172.146330
CA00540	4-Keto-3',4'-dehydro-β-carotene	548.816 g/mol
LMPR0106010071	Tetrahdroxysqualene	474.370910
LMPR0102120008	(+)-Bornane-2,5-dione	166.099380
LMPR0104230010	Gemmacolide B	700.249788
CA00253	Bacteriorubixanthinal	596.858 g/mol
LMPR0102070023	8-Epiiridotrial glucoside	344.147120
LMPR0106240002	thalianol	426.386165
LMPR0103590008	Armillaripin	414.204240
CA00950	(3'Z,5'Z)-Celaxanthin	550.832 g/mol
LMPR0103010032	Canangalia F	370.199155
CA00978	7',8'-Didehydrodeepoxyneoxanthin	582.832 g/mol
LMPR0106010005	C30:6 Highly branched isoprenoid A	410.391250
CA00317	7,7'-Dihydro-β-carotene	538.864 g/mol
LMPR0106150009	bayogenin 3-O-cellobioside	812.455825
LMPR0102120035	(-)-sabinene	136.125200
CA01217	Myxobactin ester	785.076 g/mol
CA00067	1,2-Dihydrophytofluene	544.912 g/mol
LMPR01070325	Fucoxanthinol 3-(5Z,8Z,11Z,14Z,17Z-eicosapentaenoate) 3'-(9E-hexadecenoate)	1136.840805
LMPR0103870001	beta-Bourbonene	204.187800
CA00312	(13Z)-β-Carotene	536.848 g/mol
LMPR0103860001	(-)-Thujopsene	204.187800
CA00386	Thermozeaxanthin-13	927.31 g/mol
LMPR0104050002	(-)-Abietadiene	272.250400
LMPR0104320001	(-)-20-Acetoy-9-hydroxy-1,6,14-rhamnofolane-triene-3,13-dione	372.193675
LMPR0102070013	Nepetalactone cis-trans-form	166.099380
CA00771	Isorenieracistene	528.784 g/mol
CA00958	Myxol 2'-hexoside	771.008 g/mol
CA00998	(3R)-3-Hydroxy-β-ionone	208.29 g/mol
LMPR0102060007	(+)-trans-allethrin	302.188195
CA00233	3'-Hydroxyrubixanthin	568.848 g/mol
LMPR01090052	11-cis-retinyl palmitate	524.459330
CA01065	Safranal	150.212 g/mol
LMPR0102070048	Tarenninoside E	534.137345
CA01064	Picrocrocin	330.368 g/mol
LMPR0103180001	Trichodiene	204.187800
LMPR01070380	Mactraxanthin 3-(5Z,8Z,11Z,14Z,17Z-eicosapentaenoate) 3'-palmitate	1158.882670
CA01074	Ditaxanthin	478.646 g/mol
CA00514	Cotingin	620.836 g/mol
CA00961	Myxol 2'-fucoside	730.988 g/mol
LMPR01070322	Fucoxanthinol 3-palmitoleate	852.626790
LMPR0102120041	(-)-1,2-campholide	168.115030
CA00408	Antheraxanthin B	584.848 g/mol
LMPR0103090017	Dimerostin	362.136555
CA00286	Reticulataxanthin	472.682 g/mol
LMPR02020056	delta-tocotrienol	396.302830
LMPR04000015	N-ornithinyl-35-aminobacteriohopane-32,33,34-triol	659.560107
CA00452	Pittosporumxanthin A3	1029.522 g/mol
LMPR0104040004	NA	348.193675
LMPR0104170029	Gibberellin A53 aldehyde	332.198760
CA00364	Monoanhydroeschscholtzxanthin	548.816 g/mol
LMPR0106090002	(+)-Euphol	426.386165
LMPR0102090017	Carvacrol	150.104465
LMPR0103010035	Crannenol B	262.193280
LMPR01070314	Fucoxanthinol 3-heptadecanoate	868.658090
LMPR0104330006	Wikstrocin B	610.314185
CA00824	Valenciaxanthin	412.59 g/mol
LMPR0104050013	Dalterpenoid A	316.203845
CA00499	2-Hydroxyadonirubin	596.816 g/mol
LMPR0105050004	Ophiobolin R	414.277010
CA00242	Myxol 2'-O-methyl-methylpentoside	745.014 g/mol
LMPR0103540011	Austrobuxusin I	590.345485
LMPR0106180031	Salvurmin B	436.334130
CA01245	Nitro-Astaxanthin	641.809 g/mol
LMPR0102070002	Secologanin	388.136950
LMPR04000010	2-methylbacteriohopane-32,33,34,35-tetrol	560.480460
CA00296	Crassostreaxanthin A	598.832 g/mol
CA00264	Flexixanthin	582.832 g/mol
CA00459	P457	941.128 g/mol
LMPR01090049	(3R)-all-trans-3-hydroxyretinal	300.208930
CA00868	Abscisate	264.31 g/mol
CA01181	10-apo-19-nor-7,8-didehydro-epsilon-carotn-3,9-dione	204.258g/mol
LMPR0103010026	NA	332.094601
LMPR02020081	alpha-carboxyethylhydroxychroman taurine	385.155911
LMPR0106210001	Tetrahymanol	428.401815
LMPR02020062	alhpa-tocopheronic acid	296.162375
LMPR0103110005	(4E,8E)-beta-humulene	204.187800
CA00279	3-Hydroxy-4-ketotorulene	564.816 g/mol
LMPR0102070041	Ixoroside	360.142035
CA00529	Braunixanthin 1	1626.508 g/mol
CA01114	(6R,7E,9R)-9-Hydroxy-4,7-megastigmadien-3-one	226.306 g/mol
LMPR01070800	Astaxanthin	596.386560
LMPR0103190016	selina-4(14),7,11-trien-9-ol	218.167065
LMPR0103050008	(-)-abscisic acid	264.136160
CA00358	Corbiculaxanthin 3'-acetate	642.884 g/mol
LMPR01070389	Mactraxanthin 3-oleate 3'-palmitoleate	1136.898320
LMPR0102070043	Geniposidic acid	374.121300
LMPR0106150036	Queretaroic acid	472.355260
CA00110	Lycopanerols D acetate	1242.1 g/mol
LMPR0102070054	Diffusoside A	432.163165
CA00492	7,8,7',8'-Tetradehydroastaxanthin	592.784 g/mol
LMPR0102070010	Harpagoside	494.178815
CA00011	4,4'-Diaponeurosporen-4-al	416.62 g/mol
LMPR0106110001	Neoquassin	390.204240
LMPR0106040018	Alisol A	490.365825
LMPR01090034	14-methyl-all-trans-retinoic acid	314.224580
LMPR01090045	(11Z)-8,18-propano-retinal	324.245315
LMPR0103160009	alpha-herbertenol	218.167065
LMPR01070381	Mactraxanthin 3-(7Z,10Z,13Z,16Z,19Z-docosapentaenoate) 3'-palmitate	1186.913970
LMPR0102120009	(+)-Bornyl-diphosphate	314.068431
CA00303	α-Zeacarotene-3,17'-diol	570.864 g/mol
LMPR0102070021	8-Epideoxyloganin tetraacetate	542.199945
LMPR0104540002	Ginkgolide B	424.136950
LMPR0106010004	Tetrahydrosqualene	414.422550
LMPR0102090062	terpinolene	136.125200
LMPR0106180015	Micromeric acid	454.344695
LMPR01070333	Fucoxanthinol 3,3'-dipalmitoleate	1088.840805
LMPR0105010008	C25:3 Highly branched isoprenoid B	346.359950
LMPR01040126	Rebaudioside A	966.430795
LMPR01070207	Neurosporaxanthin beta-D-glucopyranoside	660.402605
CA00538	Fucoxanthinol 3'-sulphate	719.908 g/mol
CA00736	Cryptocapsone	566.832 g/mol
LMPR0103060008	(E,R)-alpha-bisabolene	204.187800
LMPR0104230009	Gemmacolide A	658.202838
CA00701	Prasinoxanthin	600.848 g/mol
LMPR0103110003	(1E,6Z)-gamma-humulene	204.187800
CA01093	(3R,4R,3'S,4'R)-Crustaxanthin	600.848 g/mol
LMPR01030042	Ledol	222.198365
LMPR0104520001	Iriediol	462.076902
LMPR04000011	bacteriohopane-,32,33,34-triol-35-cyclitol	707.533619
LMPR0104040002	terpentecin	364.188590
CA00498	(3S,3'S,4'S)-4-Keto-4'-hydroxydiatoxanthin	596.816 g/mol
CA00297	Gelliodenone	578.8 g/mol
LMPR0102090063	1beta,3beta,4alpha-p-menthane-3,8-diol	172.146330
CA00707	(9Z)-Chlorobactene	532.816 g/mol
LMPR0102050002	NA	140.156500
LMPR0103460002	6-Valerene-11-ol	222.198365
LMPR04000039	16beta-acetoxy-hopane-6alpha,22-diol	502.402210
CA01179	C13-epoxide	206.274 g/mol
LMPR0103330004	Hemigossypol	260.104860
LMPR0106020001	C30:5 Monocyclic highly branched isoprenoid A	410.391250
LMPR0106050010	Pericinone B	498.370910
CA00395	Deepoxydinoxanthin	628.9 g/mol
LMPR01070126	epsilon-Carotene	536.438200
LMPR02020075	13'hydroxy-alpha-tocopherol	446.375995
CA00671	Deepoxyuriolide	598.832 g/mol
CA00973	β-Cryptoxanthin oleate	763.196 g/mol
CA00745	Capsanthin 5,6-epoxide	600.848 g/mol
CA00378	3,4,4'-Trihydroxy-β-carotene	584.848 g/mol
LMPR0104130006	16beta,17-dihydroxy-ent-kaurane-19-oic acid	336.230060
CA00796	Methyl mannosyl-3,4-dehydro-apo-8'-lycopenoate	624.786 g/mol
CA00845	β-Apo-12'-carotenoic acid	366.522 g/mol
CA00137	Oscillol	600.848 g/mol
LMPR0106150037	Quillaic acid	486.334525
CA00588	3,4-Didehydro-α-carotene	534.832 g/mol
LMPR0102070042	Tarrenoside	358.126385
LMPR01040120	Steviol	318.219495
LMPR0104160001	Aphidicol-16-ene	272.250400
